group,viability_pct
negative_control,103.79551186387755
negative_control,98.08636871499232
negative_control,98.11811942113016
negative_control,100.61603994195801
negative_control,103.87329136234138
negative_control,95.51066869570064
negative_control,106.41324512786629
negative_control,96.47205054623032
negative_control,97.11470432590342
vehicle_control,94.16295036177848
vehicle_control,97.75454492313285
vehicle_control,103.43080340778018
vehicle_control,86.83929977804922
vehicle_control,101.39916745757756
vehicle_control,96.84032360219373
vehicle_control,90.87704943609339
vehicle_control,103.31514024569401
vehicle_control,87.0979028916297
doxorubicin,48.90578316129155
doxorubicin,49.571226633410824
doxorubicin,46.274895226990935
doxorubicin,48.56193391186087
doxorubicin,50.6315156418756
doxorubicin,53.55520521427442
doxorubicin,50.39208382366924
doxorubicin,54.92897908879104
doxorubicin,50.67478833367055
12.5ppm,91.91340812324589
12.5ppm,90.60139017257738
12.5ppm,96.88927826555948
12.5ppm,91.67592600503042
12.5ppm,95.16052154411574
12.5ppm,89.27769657521922
12.5ppm,87.835100844876
12.5ppm,82.91377185566463
12.5ppm,84.63340317378703
25ppm,93.79519977202247
25ppm,90.35093785380874
25ppm,84.6846444606592
25ppm,77.69607396404052
25ppm,88.92669336580656
25ppm,87.979860307593
25ppm,85.49781123557301
25ppm,82.26199466004887
25ppm,87.70508456210923
50ppm,72.32776759963053
50ppm,76.41358074454973
50ppm,84.76971733622062
50ppm,77.25443166358845
50ppm,76.2280236448545
50ppm,82.00698307660602
50ppm,73.69907085551793
50ppm,76.07367856580136
50ppm,72.57951269589643
100ppm,61.85506243960922
100ppm,70.13033294028304
100ppm,63.961586883720344
100ppm,64.32471142393507
100ppm,61.6938746045935
100ppm,62.98911094797308
100ppm,63.52372446328756
100ppm,64.35039096678494
100ppm,61.086198349033715
200ppm,45.98906362811067
200ppm,44.481083073448055
200ppm,44.6590662754479
200ppm,39.84771941512307
200ppm,45.046010116910224
200ppm,46.12343032608948
200ppm,45.56100316086801
200ppm,44.79536965728828
200ppm,43.82003079899784
